plot_id,subplot,lon,lat,elev
"ABG_10","S6",482597.319238,8330733.086394,1253.468716
"ABG_10","S7",482604.462778,8330699.193913,1252.865139
"ABG_11","S3",488578.413213,8335228.691490,1288.869576
"ABG_13","S1",480386.268020,8319791.286363,1247.831934
"ABG_13","S2",480417.765555,8319779.067888,1248.631067
"ABG_13","S4",480444.402842,8319733.619976,1248.505204
"ABG_13","S7",480386.693410,8319755.326244,1247.361830
"ABG_13","S8",480401.621079,8319710.232143,1246.606816
"ABG_15","S1",470074.922535,8326958.257892,1285.592267
"ABG_15","S3",470144.772439,8326953.428010,1285.969229
"ABG_15","S5",470104.036433,8326921.367413,1286.642462
"ABG_15","S7",470060.413017,8326890.073511,1287.410563
"ABG_15","S8",470095.639621,8326887.095742,1287.648673
"ABG_15","S9",470129.293235,8326884.688825,1287.840430
"ABG_4","S3",492106.179889,8323684.849294,1229.399392
"ABG_4","S8",492089.249850,8323609.992198,1228.901000
"ABG_4","S9",492122.006618,8323617.146717,1230.225589
"ABG_9","S3",480017.101373,8319958.439220,1266.302848
"ABG_9","S8",480047.423787,8319883.161726,1255.231523
"TKW_10","S1",501513.825475,8984820.498704,105.124721
"TKW_10","S5",501549.143039,8984784.325288,104.477195
"TKW_10","S6",501513.083678,8984785.243642,104.801204
"TKW_10","S9",501583.437614,8984750.618898,103.795005
"TKW_13","S1",509093.240093,9012941.658763,115.126838
"TKW_13","S7",509093.592362,9012871.841081,113.771302
"TKW_19","S8",501266.978635,8994074.829887,137.193265
"TKW_25","S3",505329.748393,9013159.998933,100.070530
"TKW_25","S4",505330.459883,9013125.613521,98.705437
"TKW_25","S5",505295.127927,9013125.287602,98.416688
"TKW_25","S8",505295.966072,9013089.686317,97.370701
"TKW_25","S9",505330.451693,9013089.921128,97.600025
"TKW_7","S5",511677.049346,9014078.632880,118.330112
"TKW_7","S9",511716.973492,9014043.504020,117.982825
"TKW_9","S2",500393.067469,8996454.520540,157.404159
