"plot_id","subplot","n"
"TKW_7","S1",2
"TKW_7","S2",2
"TKW_7","S3",2
"TKW_7","S4",2
"TKW_7","S5",1
"TKW_7","S6",2
"TKW_7","S7",2
"TKW_7","S8",2
"TKW_7","S9",2
"TKW_9","S1",2
"TKW_9","S2",1
"TKW_9","S3",2
"TKW_9","S4",2
"TKW_9","S5",2
"TKW_9","S6",2
"TKW_9","S7",2
"TKW_9","S8",2
"TKW_9","S9",2
"TKW_10","S1",1
"TKW_10","S2",2
"TKW_10","S3",2
"TKW_10","S4",2
"TKW_10","S5",1
"TKW_10","S6",1
"TKW_10","S7",2
"TKW_10","S8",1
"TKW_10","S9",1
"TKW_13","S1",1
"TKW_13","S2",2
"TKW_13","S3",2
"TKW_13","S4",2
"TKW_13","S5",2
"TKW_13","S6",3
"TKW_13","S7",1
"TKW_13","S8",2
"TKW_13","S9",2
"TKW_19","S1",2
"TKW_19","S2",2
"TKW_19","S3",1
"TKW_19","S4",3
"TKW_19","S5",2
"TKW_19","S6",2
"TKW_19","S7",2
"TKW_19","S8",1
"TKW_19","S9",2
"TKW_21","S1",3
"TKW_21","S2",2
"TKW_21","S3",2
"TKW_21","S4",2
"TKW_21","S5",2
"TKW_21","S7",2
"TKW_21","S8",2
"TKW_21","S9",2
"TKW_25","S1",2
"TKW_25","S2",2
"TKW_25","S3",1
"TKW_25","S4",1
"TKW_25","S5",1
"TKW_25","S6",2
"TKW_25","S7",2
"TKW_25","S8",1
"TKW_25","S9",1
"ABG_1","S1",2
"ABG_1","S2",3
"ABG_1","S3",2
"ABG_1","S4",2
"ABG_1","S5",2
"ABG_1","S6",2
"ABG_1","S7",2
"ABG_1","S8",2
"ABG_1","S9",3
"ABG_10","S1",2
"ABG_10","S2",2
"ABG_10","S3",2
"ABG_10","S4",2
"ABG_10","S5",2
"ABG_10","S6",1
"ABG_10","S7",1
"ABG_10","S8",2
"ABG_10","S9",2
"ABG_11","S1",2
"ABG_11","S2",2
"ABG_11","S3",1
"ABG_11","S4",1
"ABG_11","S5",1
"ABG_11","S6",1
"ABG_11","S7",1
"ABG_11","S8",1
"ABG_11","S9",1
"ABG_12","S1",1
"ABG_12","S2",1
"ABG_12","S3",1
"ABG_12","S4",1
"ABG_12","S5",1
"ABG_12","S6",1
"ABG_12","S7",1
"ABG_12","S8",1
"ABG_12","S9",1
"ABG_13","S1",1
"ABG_13","S2",1
"ABG_13","S3",2
"ABG_13","S4",1
"ABG_13","S5",2
"ABG_13","S6",2
"ABG_13","S7",1
"ABG_13","S8",1
"ABG_13","S9",2
"ABG_14","S1",2
"ABG_14","S2",2
"ABG_14","S3",2
"ABG_14","S4",2
"ABG_14","S5",2
"ABG_14","S6",2
"ABG_14","S7",2
"ABG_14","S8",2
"ABG_14","S9",2
"ABG_15","S1",1
"ABG_15","S2",2
"ABG_15","S3",1
"ABG_15","S4",2
"ABG_15","S5",1
"ABG_15","S6",2
"ABG_15","S7",1
"ABG_15","S8",1
"ABG_15","S9",1
"ABG_2","S1",2
"ABG_2","S2",2
"ABG_2","S3",2
"ABG_2","S4",2
"ABG_2","S5",2
"ABG_2","S6",2
"ABG_2","S7",2
"ABG_2","S8",2
"ABG_2","S9",1
"ABG_3","S1",1
"ABG_3","S2",1
"ABG_3","S3",1
"ABG_3","S4",1
"ABG_3","S5",1
"ABG_3","S6",1
"ABG_3","S7",1
"ABG_3","S8",1
"ABG_3","S9",1
"ABG_4","S1",2
"ABG_4","S2",2
"ABG_4","S3",1
"ABG_4","S4",2
"ABG_4","S5",2
"ABG_4","S6",2
"ABG_4","S7",2
"ABG_4","S8",1
"ABG_4","S9",1
"ABG_5","S1",2
"ABG_5","S2",3
"ABG_5","S3",2
"ABG_5","S4",2
"ABG_5","S5",2
"ABG_5","S6",2
"ABG_5","S7",2
"ABG_5","S8",2
"ABG_5","S9",2
"ABG_6","S1",2
"ABG_6","S2",3
"ABG_6","S3",3
"ABG_6","S4",2
"ABG_6","S5",2
"ABG_6","S6",2
"ABG_6","S7",2
"ABG_6","S8",3
"ABG_6","S9",2
"ABG_7","S1",3
"ABG_7","S2",3
"ABG_7","S3",2
"ABG_7","S4",2
"ABG_7","S5",2
"ABG_7","S6",2
"ABG_7","S7",1
"ABG_7","S8",2
"ABG_7","S9",2
"ABG_8","S1",2
"ABG_8","S2",2
"ABG_8","S3",3
"ABG_8","S4",2
"ABG_8","S5",2
"ABG_8","S6",2
"ABG_8","S7",2
"ABG_8","S8",2
"ABG_8","S9",2
"ABG_9","S1",2
"ABG_9","S2",2
"ABG_9","S3",2
"ABG_9","S4",2
"ABG_9","S5",2
"ABG_9","S6",2
"ABG_9","S7",2
"ABG_9","S8",1
"ABG_9","S9",2
"TKW_21","S6",0
